5km,경도,구간,노선명,발생건수,본부명,위도,지사명,년도,숲_유무,농지_유무,도로_개수,건물_개수,barrier_유무,제한속도,차선수
330,127.386,330~335,제2중부선,4.0,수도권,37.283,경기광주,2019,1,0,30,1,0,110,2
325,127.421,325~330,중부선,7.0,수도권,37.249,경기광주,2019,1,0,34,7,0,110,4
330,127.385,330~335,중부선,10.0,수도권,37.283,경기광주,2019,1,0,30,2,0,110,2
335,127.347,335~340,중부선,7.0,수도권,37.315,경기광주,2019,1,0,55,1,0,110,2
340,127.321,340~345,중부선,4.0,수도권,37.354,경기광주,2019,1,0,92,4,1,110,2
345,127.311,345~350,중부선,6.0,수도권,37.398,경기광주,2019,1,0,27,0,0,110,2
350,127.289,350~355,중부선,3.0,수도권,37.439,경기광주,2019,1,0,33,0,0,110,2
330,127.385,330~335,중부선,3.0,수도권,37.283,경기광주,2019,1,0,30,2,0,110,2
45,127.139,45~50,영동선,5.0,수도권,37.289,군포,2019,1,0,112,18,0,100,5
15,129.091,15~20,동해선,3.0,강원,37.486,강릉,2019,1,0,35,0,0,100,2
50,128.897,50~55,동해선,3.0,강원,37.691,강릉,2019,1,1,50,0,0,100,2
100,128.63,100~105,동해선,3.0,강원,38.057,양양,2019,1,0,15,0,1,100,2
115,127.831,115~120,영동선,3.0,강원,37.316,원주,2019,1,1,165,15,1,100,2
140,128.036,140~145,영동선,4.0,강원,37.445,원주,2019,1,0,25,0,0,100,2
55,127.235,55~60,영동선,7.0,강원,37.248,이천,2019,1,1,99,49,1,100,4
60,127.289,60~65,영동선,12.0,강원,37.239,이천,2019,1,1,112,149,1,100,4
65,127.342,65~70,영동선,3.0,강원,37.252,이천,2019,1,0,36,0,0,100,4
70,127.393,70~75,영동선,3.0,강원,37.24,이천,2019,1,0,64,2,0,100,4
75,127.446,75~80,영동선,11.0,강원,37.237,이천,2019,1,1,33,0,0,100,4
80,127.501,80~85,영동선,8.0,강원,37.245,이천,2019,1,0,56,0,0,100,4
50,127.186,50~55,영동선,4.0,강원,37.269,이천,2019,1,0,79,0,0,100,2
55,127.235,55~60,영동선,8.0,강원,37.248,이천,2019,1,1,99,49,1,100,4
60,127.289,60~65,영동선,4.0,강원,37.239,이천,2019,1,1,112,149,1,100,4
70,127.393,70~75,영동선,3.0,강원,37.24,이천,2019,1,0,64,2,0,100,4
75,127.446,75~80,영동선,6.0,강원,37.237,이천,2019,1,1,33,0,0,100,4
270,127.582,270~275,중부내륙선,3.0,강원,37.27,이천,2019,1,0,33,0,0,110,2
315,127.913,315~320,중앙선,7.0,강원,37.341,홍천,2019,1,0,65,41,1,100,2
320,127.894,320~325,중앙선,3.0,강원,37.383,홍천,2019,1,1,107,2,0,100,2
345,127.973,345~350,중앙선,3.0,강원,37.573,홍천,2019,1,0,9,0,0,100,2
360,127.874,360~365,중앙선,6.0,강원,37.67,홍천,2019,1,0,34,0,0,60,2
370,127.797,370~375,중앙선,9.0,강원,37.725,홍천,2019,1,0,16,0,0,100,2
375,127.791,375~380,중앙선,3.0,강원,37.766,홍천,2019,1,0,14,0,0,100,2
315,127.913,315~320,중앙선,8.0,강원,37.341,홍천,2019,1,0,65,41,1,100,2
320,127.894,320~325,중앙선,3.0,강원,37.383,홍천,2019,1,1,107,2,0,100,2
335,127.959,335~340,중앙선,5.0,강원,37.497,홍천,2019,1,0,48,0,0,100,2
340,127.979,340~345,중앙선,4.0,강원,37.53,홍천,2019,1,0,39,0,0,100,2
5,127.479,5~10,청주상주선,3.0,충북,36.546,보은,2019,1,0,31,0,0,110,2
40,127.836,40~45,청주상주선,4.0,충북,36.456,보은,2019,1,0,2,0,0,110,2
45,127.888,45~50,청주상주선,4.0,충북,36.447,보은,2019,1,0,5,0,0,110,2
70,128.132,70~75,청주상주선,7.0,충북,36.37,보은,2019,1,1,14,0,0,110,2
70,128.132,70~75,청주상주선,3.0,충북,36.37,보은,2019,1,1,14,0,0,110,2
55,127.443,55~60,평택제천선,3.0,충북,36.947,엄정,2019,1,1,58,0,0,100,2
275,128.17,275~280,중앙선,3.0,충북,37.084,제천,2019,1,0,28,0,0,100,3
280,128.15,280~285,중앙선,3.0,충북,37.121,제천,2019,1,0,11,0,0,100,2
290,128.118,290~295,중앙선,5.0,충북,37.202,제천,2019,1,0,11,0,0,100,3
295,128.081,295~300,중앙선,9.0,충북,37.233,제천,2019,1,0,76,1,0,100,2
260,128.294,260~265,중앙선,6.0,충북,37.005,제천,2019,1,0,6,1,0,100,2
275,128.17,275~280,중앙선,5.0,충북,37.084,제천,2019,1,0,28,0,0,100,3
280,128.15,280~285,중앙선,4.0,충북,37.121,제천,2019,1,0,11,0,0,100,2
290,128.118,290~295,중앙선,4.0,충북,37.202,제천,2019,1,0,11,0,0,100,3
295,128.081,295~300,중앙선,9.0,충북,37.233,제천,2019,1,0,76,1,0,100,2
310,127.955,310~315,중앙선,3.0,충북,37.313,제천,2019,1,0,93,150,0,100,2
260,127.438,260~265,중부선,3.0,충북,36.709,진천,2019,0,0,70,6,0,110,2
280,127.481,280~285,중부선,3.0,충북,36.859,진천,2019,0,0,50,0,0,110,2
305,127.463,305~310,중부선,3.0,충북,37.077,진천,2019,1,0,36,0,0,0,0
245,127.428,245~250,중부선,3.0,충북,36.579,진천,2019,1,0,34,2,1,100,5
295,127.475,295~300,중부선,3.0,충북,36.991,진천,2019,0,0,38,0,0,110,2
260,127.613,260~265,중부내륙선,3.0,충북,37.188,충주,2019,1,0,28,0,0,110,2
235,127.784,235~240,중부내륙선,3.0,충북,37.038,충주,2019,1,0,29,0,0,110,2
20,126.759,20~25,당진대전선,3.0,대전충남,36.714,공주,2019,0,1,16,0,0,110,2
40,126.901,40~45,당진대전선,3.0,대전충남,36.59,공주,2019,1,0,37,0,0,110,2
45,126.951,45~50,당진대전선,5.0,대전충남,36.574,공주,2019,1,0,8,0,0,110,2
65,127.114,65~70,당진대전선,7.0,대전충남,36.487,공주,2019,1,0,47,0,0,110,2
70,127.165,70~75,당진대전선,4.0,대전충남,36.498,공주,2019,1,0,18,1,0,110,2
75,127.216,75~80,당진대전선,4.0,대전충남,36.488,공주,2019,1,0,49,1,0,110,2
80,127.25,80~85,당진대전선,10.0,대전충남,36.459,공주,2019,1,0,42,62,0,110,2
85,127.288,85~90,당진대전선,4.0,대전충남,36.428,공주,2019,1,0,63,0,0,110,2
30,126.825,30~35,당진대전선,4.0,대전충남,36.647,공주,2019,1,0,10,0,0,110,2
35,126.855,35~40,당진대전선,3.0,대전충남,36.609,공주,2019,1,0,16,0,0,110,2
45,126.951,45~50,당진대전선,5.0,대전충남,36.574,공주,2019,1,0,8,0,0,110,2
50,126.99,50~55,당진대전선,5.0,대전충남,36.545,공주,2019,1,0,9,0,0,110,2
55,127.012,55~60,당진대전선,5.0,대전충남,36.505,공주,2019,1,0,26,0,0,110,2
65,127.114,65~70,당진대전선,14.0,대전충남,36.487,공주,2019,1,0,47,0,0,110,2
70,127.165,70~75,당진대전선,14.0,대전충남,36.498,공주,2019,1,0,18,1,0,110,2
80,127.25,80~85,당진대전선,3.0,대전충남,36.459,공주,2019,1,0,42,62,0,110,2
85,127.288,85~90,당진대전선,9.0,대전충남,36.428,공주,2019,1,0,63,0,0,110,2
